gen_id,name,type,file_count,dir_count,total_size_bytes,total_size_gib,zero_byte_files
0318_155727,00,dir,0,0,0,0.0,0
0318_155727,01,dir,0,0,0,0.0,0
0318_155727,02,dir,0,0,0,0.0,0
0318_155727,03,dir,0,0,0,0.0,0
0318_155727,04,dir,0,0,0,0.0,0
0318_155727,05,dir,0,0,0,0.0,0
0318_155727,06,dir,0,0,0,0.0,0
0318_155727,07,dir,0,0,0,0.0,0
0318_155727,08,dir,0,0,0,0.0,0
0318_155727,09,dir,0,0,0,0.0,0
0318_155727,0a,dir,0,0,0,0.0,0
0318_155727,0b,dir,0,0,0,0.0,0
0318_155727,0c,dir,0,0,0,0.0,0
0318_155727,0d,dir,0,0,0,0.0,0
0318_155727,0e,dir,0,0,0,0.0,0
0318_155727,0f,dir,0,0,0,0.0,0
0318_155727,10,dir,0,0,0,0.0,0
0318_155727,11,dir,0,0,0,0.0,0
0318_155727,12,dir,0,0,0,0.0,0
0318_155727,13,dir,0,0,0,0.0,0
0318_155727,14,dir,0,0,0,0.0,0
0318_155727,15,dir,0,0,0,0.0,0
0318_155727,16,dir,0,0,0,0.0,0
0318_155727,17,dir,0,0,0,0.0,0
0318_155727,18,dir,0,0,0,0.0,0
0318_155727,19,dir,0,0,0,0.0,0
0318_155727,1a,dir,0,0,0,0.0,0
0318_155727,1b,dir,0,0,0,0.0,0
0318_155727,1c,dir,0,0,0,0.0,0
0318_155727,1d,dir,0,0,0,0.0,0
0318_155727,1e,dir,0,0,0,0.0,0
0318_155727,1f,dir,0,0,0,0.0,0
0318_155727,20,dir,0,0,0,0.0,0
0318_155727,21,dir,0,0,0,0.0,0
0318_155727,22,dir,0,0,0,0.0,0
0318_155727,23,dir,0,0,0,0.0,0
0318_155727,24,dir,0,0,0,0.0,0
0318_155727,25,dir,0,0,0,0.0,0
0318_155727,26,dir,0,0,0,0.0,0
0318_155727,27,dir,0,0,0,0.0,0
0318_155727,28,dir,0,0,0,0.0,0
0318_155727,29,dir,0,0,0,0.0,0
0318_155727,2a,dir,0,0,0,0.0,0
0318_155727,2b,dir,0,0,0,0.0,0
0318_155727,2c,dir,0,0,0,0.0,0
0318_155727,2d,dir,0,0,0,0.0,0
0318_155727,2e,dir,0,0,0,0.0,0
0318_155727,2f,dir,0,0,0,0.0,0
0318_155727,30,dir,0,0,0,0.0,0
0318_155727,31,dir,0,0,0,0.0,0
0318_155727,32,dir,0,0,0,0.0,0
0318_155727,33,dir,0,0,0,0.0,0
0318_155727,34,dir,0,0,0,0.0,0
0318_155727,35,dir,0,0,0,0.0,0
0318_155727,36,dir,0,0,0,0.0,0
0318_155727,37,dir,0,0,0,0.0,0
0318_155727,38,dir,0,0,0,0.0,0
0318_155727,39,dir,0,0,0,0.0,0
0318_155727,3a,dir,0,0,0,0.0,0
0318_155727,3b,dir,0,0,0,0.0,0
0318_155727,3c,dir,0,0,0,0.0,0
0318_155727,3d,dir,0,0,0,0.0,0
0318_155727,3e,dir,0,0,0,0.0,0
0318_155727,3f,dir,0,0,0,0.0,0
0318_155727,40,dir,0,0,0,0.0,0
0318_155727,41,dir,0,0,0,0.0,0
0318_155727,42,dir,0,0,0,0.0,0
0318_155727,43,dir,0,0,0,0.0,0
0318_155727,44,dir,0,0,0,0.0,0
0318_155727,45,dir,0,0,0,0.0,0
0318_155727,46,dir,0,0,0,0.0,0
0318_155727,47,dir,0,0,0,0.0,0
0318_155727,48,dir,0,0,0,0.0,0
0318_155727,49,dir,0,0,0,0.0,0
0318_155727,4a,dir,0,0,0,0.0,0
0318_155727,4b,dir,0,0,0,0.0,0
0318_155727,4c,dir,0,0,0,0.0,0
0318_155727,4d,dir,0,0,0,0.0,0
0318_155727,4e,dir,0,0,0,0.0,0
0318_155727,4f,dir,0,0,0,0.0,0
0318_155727,50,dir,0,0,0,0.0,0
0318_155727,51,dir,0,0,0,0.0,0
0318_155727,52,dir,0,0,0,0.0,0
0318_155727,53,dir,0,0,0,0.0,0
0318_155727,54,dir,0,0,0,0.0,0
0318_155727,55,dir,0,0,0,0.0,0
0318_155727,56,dir,0,0,0,0.0,0
0318_155727,57,dir,0,0,0,0.0,0
0318_155727,58,dir,0,0,0,0.0,0
0318_155727,59,dir,0,0,0,0.0,0
0318_155727,5a,dir,0,0,0,0.0,0
0318_155727,5b,dir,0,0,0,0.0,0
0318_155727,5c,dir,0,0,0,0.0,0
0318_155727,5d,dir,0,0,0,0.0,0
0318_155727,5e,dir,0,0,0,0.0,0
0318_155727,5f,dir,0,0,0,0.0,0
0318_155727,60,dir,0,0,0,0.0,0
0318_155727,61,dir,0,0,0,0.0,0
0318_155727,62,dir,0,0,0,0.0,0
0318_155727,63,dir,0,0,0,0.0,0
0318_155727,64,dir,0,0,0,0.0,0
0318_155727,65,dir,0,0,0,0.0,0
0318_155727,66,dir,0,0,0,0.0,0
0318_155727,67,dir,0,0,0,0.0,0
0318_155727,68,dir,0,0,0,0.0,0
0318_155727,69,dir,0,0,0,0.0,0
0318_155727,6a,dir,0,0,0,0.0,0
0318_155727,6b,dir,0,0,0,0.0,0
0318_155727,6c,dir,0,0,0,0.0,0
0318_155727,6d,dir,0,0,0,0.0,0
0318_155727,6e,dir,0,0,0,0.0,0
0318_155727,6f,dir,0,0,0,0.0,0
0318_155727,70,dir,0,0,0,0.0,0
0318_155727,71,dir,0,0,0,0.0,0
0318_155727,72,dir,0,0,0,0.0,0
0318_155727,73,dir,0,0,0,0.0,0
0318_155727,74,dir,0,0,0,0.0,0
0318_155727,75,dir,0,0,0,0.0,0
0318_155727,76,dir,0,0,0,0.0,0
0318_155727,77,dir,0,0,0,0.0,0
0318_155727,78,dir,0,0,0,0.0,0
0318_155727,79,dir,0,0,0,0.0,0
0318_155727,7a,dir,0,0,0,0.0,0
0318_155727,7b,dir,0,0,0,0.0,0
0318_155727,7c,dir,0,0,0,0.0,0
0318_155727,7d,dir,0,0,0,0.0,0
0318_155727,7e,dir,0,0,0,0.0,0
0318_155727,7f,dir,0,0,0,0.0,0
0318_155727,80,dir,0,0,0,0.0,0
0318_155727,81,dir,0,0,0,0.0,0
0318_155727,82,dir,0,0,0,0.0,0
0318_155727,83,dir,0,0,0,0.0,0
0318_155727,84,dir,0,0,0,0.0,0
0318_155727,85,dir,0,0,0,0.0,0
0318_155727,86,dir,0,0,0,0.0,0
0318_155727,87,dir,0,0,0,0.0,0
0318_155727,88,dir,0,0,0,0.0,0
0318_155727,89,dir,0,0,0,0.0,0
0318_155727,8a,dir,0,0,0,0.0,0
0318_155727,8b,dir,0,0,0,0.0,0
0318_155727,8c,dir,0,0,0,0.0,0
0318_155727,8d,dir,0,0,0,0.0,0
0318_155727,8e,dir,0,0,0,0.0,0
0318_155727,8f,dir,0,0,0,0.0,0
0318_155727,90,dir,0,0,0,0.0,0
0318_155727,91,dir,0,0,0,0.0,0
0318_155727,92,dir,0,0,0,0.0,0
0318_155727,93,dir,0,0,0,0.0,0
0318_155727,94,dir,0,0,0,0.0,0
0318_155727,95,dir,0,0,0,0.0,0
0318_155727,96,dir,0,0,0,0.0,0
0318_155727,97,dir,0,0,0,0.0,0
0318_155727,98,dir,0,0,0,0.0,0
0318_155727,99,dir,0,0,0,0.0,0
0318_155727,9a,dir,0,0,0,0.0,0
0318_155727,9b,dir,0,0,0,0.0,0
0318_155727,9c,dir,0,0,0,0.0,0
0318_155727,9d,dir,0,0,0,0.0,0
0318_155727,9e,dir,0,0,0,0.0,0
0318_155727,9f,dir,0,0,0,0.0,0
0318_155727,a0,dir,0,0,0,0.0,0
0318_155727,a1,dir,0,0,0,0.0,0
0318_155727,a2,dir,0,0,0,0.0,0
0318_155727,a3,dir,0,0,0,0.0,0
0318_155727,a4,dir,0,0,0,0.0,0
0318_155727,a5,dir,0,0,0,0.0,0
0318_155727,a6,dir,0,0,0,0.0,0
0318_155727,a7,dir,0,0,0,0.0,0
