gen_id,relative_path,filename,category,size_bytes,mtime,magic,parse_error,BackupState,SnapshotState,IsFullBackup,Date,Last Backup Date,Product Version,Build Version,Product Type,Target Identifier,Device Name,Display Name,Installed Applications,iTunes Version
0401_020720,Info.plist.tmp,Info.plist.tmp,info_plist_tmp,747086,2026-04-01T09:07:23,binary_plist,,,,,,2026-04-01 02:07:23,18.5,22F76,"iPhone13,1",[DEVICE_IDENTIFIER_REDACTED],[DEVICE_NAME_REDACTED],[DEVICE_NAME_REDACTED],36,12.10.10
0401_020720,Status.plist,Status.plist,status_plist,192,2026-04-01T09:07:19,binary_plist,,empty,uploading,True,2026-04-01 02:07:20.059414,,,,,[DEVICE_IDENTIFIER_REDACTED],[DEVICE_NAME_REDACTED],[DEVICE_NAME_REDACTED],,
0401_020720,Status.plist.backup,Status.plist.backup,status_plist_backup,192,2026-04-01T09:07:19,binary_plist,,empty,uploading,True,2026-04-01 02:07:20.059414,,,,,[DEVICE_IDENTIFIER_REDACTED],[DEVICE_NAME_REDACTED],[DEVICE_NAME_REDACTED],,
0401_053959,Info.plist.tmp,Info.plist.tmp,info_plist_tmp,747086,2026-04-01T12:40:00,binary_plist,,,,,,2026-04-01 05:40:00,18.5,22F76,"iPhone13,1",[DEVICE_IDENTIFIER_REDACTED],[DEVICE_NAME_REDACTED],[DEVICE_NAME_REDACTED],36,12.10.10
0401_053959,Status.plist,Status.plist,status_plist,192,2026-04-01T12:39:57,binary_plist,,empty,uploading,True,2026-04-01 05:39:59.884789,,,,,[DEVICE_IDENTIFIER_REDACTED],[DEVICE_NAME_REDACTED],[DEVICE_NAME_REDACTED],,
0401_053959,Status.plist.backup,Status.plist.backup,status_plist_backup,192,2026-04-01T12:39:57,binary_plist,,empty,uploading,True,2026-04-01 05:39:59.884789,,,,,[DEVICE_IDENTIFIER_REDACTED],[DEVICE_NAME_REDACTED],[DEVICE_NAME_REDACTED],,
