gen_id,bucket,is_hex_bucket,file_count,total_size_bytes,total_size_gib,zero_byte_files,small_1kb_or_less,large_1mb_or_more,large_100mb_or_more,category_counts,magic_counts
0401_020720,39,True,23,3561840,0.0033,0,7,1,0,"{""snapshot_file"": 23}","{""binary_or_unknown"": 23}"
0401_020720,3a,True,32,3852544,0.0036,0,10,1,0,"{""snapshot_file"": 32}","{""binary_or_unknown"": 32}"
0401_020720,3b,True,24,6580832,0.0061,0,12,1,0,"{""snapshot_file"": 24}","{""binary_or_unknown"": 24}"
0401_020720,3c,True,36,1710800,0.0016,0,15,0,0,"{""snapshot_file"": 36}","{""binary_or_unknown"": 36}"
0401_020720,3d,True,27,328040896,0.3055,0,10,3,1,"{""snapshot_file"": 27}","{""binary_or_unknown"": 27}"
0401_020720,3e,True,31,2149952,0.002,0,13,1,0,"{""snapshot_file"": 31}","{""binary_or_unknown"": 30, ""json_like"": 1}"
0401_020720,3f,True,32,341407632,0.318,0,11,1,1,"{""snapshot_file"": 32}","{""binary_or_unknown"": 32}"
0401_020720,40,True,26,918016,0.0009,0,12,0,0,"{""snapshot_file"": 26}","{""binary_or_unknown"": 26}"
0401_020720,41,True,33,2080400,0.0019,0,13,1,0,"{""snapshot_file"": 33}","{""binary_or_unknown"": 33}"
0401_020720,42,True,28,1336944,0.0012,0,12,0,0,"{""snapshot_file"": 28}","{""binary_or_unknown"": 28}"
0401_020720,43,True,31,18913936,0.0176,0,15,4,0,"{""snapshot_file"": 31}","{""binary_or_unknown"": 30, ""json_like"": 1}"
0401_020720,44,True,27,13060992,0.0122,0,13,2,0,"{""snapshot_file"": 27}","{""binary_or_unknown"": 26, ""json_like"": 1}"
0401_020720,45,True,29,1107024,0.001,0,11,0,0,"{""snapshot_file"": 29}","{""binary_or_unknown"": 28, ""json_like"": 1}"
0401_020720,46,True,27,11814176,0.011,0,15,1,0,"{""snapshot_file"": 27}","{""binary_or_unknown"": 27}"
0401_020720,47,True,19,639979472,0.596,0,8,2,2,"{""snapshot_file"": 19}","{""binary_or_unknown"": 19}"
0401_020720,48,True,31,1183264,0.0011,0,8,0,0,"{""snapshot_file"": 31}","{""binary_or_unknown"": 30, ""json_like"": 1}"
0401_020720,49,True,29,291606320,0.2716,0,8,2,1,"{""snapshot_file"": 29}","{""binary_or_unknown"": 28, ""json_like"": 1}"
0401_020720,4a,True,22,11174640,0.0104,0,7,2,0,"{""snapshot_file"": 22}","{""binary_or_unknown"": 22}"
0401_020720,4b,True,26,11554848,0.0108,0,13,1,0,"{""snapshot_file"": 26}","{""binary_or_unknown"": 26}"
0401_020720,4c,True,36,17900912,0.0167,0,15,2,0,"{""snapshot_file"": 36}","{""binary_or_unknown"": 36}"
0401_020720,4d,True,35,3451120,0.0032,0,12,0,0,"{""snapshot_file"": 35}","{""binary_or_unknown"": 35}"
0401_020720,4e,True,28,642656,0.0006,0,13,0,0,"{""snapshot_file"": 28}","{""binary_or_unknown"": 28}"
0401_020720,4f,True,22,1616256,0.0015,0,10,1,0,"{""snapshot_file"": 22}","{""binary_or_unknown"": 21, ""json_like"": 1}"
0401_020720,50,True,22,2088608,0.0019,0,9,1,0,"{""snapshot_file"": 22}","{""binary_or_unknown"": 22}"
0401_020720,51,True,24,300483872,0.2798,0,11,1,1,"{""snapshot_file"": 24}","{""binary_or_unknown"": 24}"
0401_020720,52,True,27,2137536,0.002,0,13,1,0,"{""snapshot_file"": 27}","{""binary_or_unknown"": 27}"
0401_020720,53,True,29,12398192,0.0115,0,12,1,0,"{""snapshot_file"": 29}","{""binary_or_unknown"": 29}"
0401_020720,54,True,26,712080,0.0007,0,12,0,0,"{""snapshot_file"": 26}","{""binary_or_unknown"": 26}"
