anchor_id,device_label,core_date,gen_id,label,root_public,root_exists,total_files,total_size_bytes,total_size_gib,snapshot_files,snapshot_size_bytes,snapshot_size_gib,snapshot_hex_bucket_count,zero_byte_files,small_1kb_or_less,large_1mb_or_more,large_100mb_or_more,plist_rows,BackupState,SnapshotState,IsFullBackup,Status_Date,Info_plist_tmp,Product_Version,Build_Version,Product_Type,Installed_Applications,errors
2026-04-01_15G_0401_020720,15G,2026-04-01,0401_020720,2026-04-01-020720,[0401_020720_ROOT],True,9085,32472149798,30.242,6998,13883784176,12.9303,256,5,2904,1382,40,3,empty,uploading,True,2026-04-01 02:07:20.059414,yes,18.5,22F76,"iPhone13,1",36,0
2026-04-01_15G_0401_053959,15G,2026-04-01,0401_053959,2026-04-01-053959,[0401_053959_ROOT],True,52825,91488051065,85.2049,50994,83894052576,78.1324,256,0,14559,2891,241,3,empty,uploading,True,2026-04-01 05:39:59.884789,yes,18.5,22F76,"iPhone13,1",36,0
