artifact_id,core_date,device_label,source_group,category,original_title,extension,size_bytes,mtime,ctime,mtime_date,sha256,sample_sha256_1mb,file_magic,under_snapshot,snapshot_bucket,is_hex_bucket,is_zero_byte,is_small_1kb_or_less,is_large_1mb_or_more,is_large_100mb_or_more,public_raw,preserved_private,noise_or_generated,relative_path_redacted,private_full_path,BackupState,SnapshotState,IsFullBackup,Date,Last Backup Date,Product Version,Build Version,Product Type,Target Identifier,Device Name,Display Name,Installed Applications,iTunes Version,parse_error
SC-0318-000137,2026-03-18,15G,manifest_0318_error,info_plist_tmp,Info.plist.tmp,.tmp,858679,2026-03-18T17:54:48,2026-04-21T20:43:00,2026-03-18,1e76c929261543c1beece75b4c15f5bceb53f7271b1e626ea7f8e9bc2cd38a76,1e76c929261543c1beece75b4c15f5bceb53f7271b1e626ea7f8e9bc2cd38a76,binary_plist,False,,False,False,False,False,False,no,yes,False,[MANIFEST]\My_Device\15G\[15G_UDID]\2026-03-18\2026-03-18-093500  Error\iMazing\Backups\[15G_UDID]\Info.plist.tmp,D:\Manifest\My_Device\15G\00008101-000524EC3A30001E\2026-03-18\2026-03-18-093500  Error\iMazing\Backups\00008101-000524EC3A30001E\Info.plist.tmp,,,,,2026-03-18 10:54:47,18.5,22F76,"iPhone13,1",00008101-000524EC3A30001E,ЮТАのiPhone,ЮТАのiPhone,39,12.10.10,
SC-0318-000247,2026-03-18,15G,manifest_0318_snapshot,info_plist_tmp,Info.plist.tmp,.tmp,858679,2026-03-18T22:57:32,2026-03-18T22:56:29,2026-03-18,66c41c800831cdc2cb21487b66b20f16f687f45bae6173d0b74224e30ef47a75,66c41c800831cdc2cb21487b66b20f16f687f45bae6173d0b74224e30ef47a75,binary_plist,False,,False,False,False,False,False,no,yes,False,[MANIFEST]\My_Device\15G\[15G_UDID]\2026-03-18\2026-03-18-155727  (Snashpt肥大化世代)\iMazing\[15G_UDID]\Info.plist.tmp,D:\Manifest\My_Device\15G\00008101-000524EC3A30001E\2026-03-18\2026-03-18-155727  (Snashpt肥大化世代)\iMazing\00008101-000524EC3A30001E\Info.plist.tmp,,,,,2026-03-18 15:57:30,18.5,22F76,"iPhone13,1",00008101-000524EC3A30001E,ЮТАのiPhone,ЮТАのiPhone,39,12.10.10,
SC-0318-000248,2026-03-18,15G,manifest_0318_snapshot,status_plist,Status.plist,.plist,192,2026-03-18T22:57:28,2026-03-18T22:57:26,2026-03-18,abf02e8c94f2d031c8c31b2a883691c77116b0e8bc4ccc5221dcb5d55989ba60,abf02e8c94f2d031c8c31b2a883691c77116b0e8bc4ccc5221dcb5d55989ba60,binary_plist,False,,False,False,True,False,False,no,yes,False,[MANIFEST]\My_Device\15G\[15G_UDID]\2026-03-18\2026-03-18-155727  (Snashpt肥大化世代)\iMazing\[15G_UDID]\Status.plist,D:\Manifest\My_Device\15G\00008101-000524EC3A30001E\2026-03-18\2026-03-18-155727  (Snashpt肥大化世代)\iMazing\00008101-000524EC3A30001E\Status.plist,empty,uploading,True,2026-03-18 15:57:27.007015,,,,,,,,,,
SC-0318-000249,2026-03-18,15G,manifest_0318_snapshot,status_plist_backup,Status.plist.backup,.backup,192,2026-03-18T22:57:28,2026-03-18T22:57:26,2026-03-18,abf02e8c94f2d031c8c31b2a883691c77116b0e8bc4ccc5221dcb5d55989ba60,abf02e8c94f2d031c8c31b2a883691c77116b0e8bc4ccc5221dcb5d55989ba60,binary_plist,False,,False,False,True,False,False,no,yes,False,[MANIFEST]\My_Device\15G\[15G_UDID]\2026-03-18\2026-03-18-155727  (Snashpt肥大化世代)\iMazing\[15G_UDID]\Status.plist.backup,D:\Manifest\My_Device\15G\00008101-000524EC3A30001E\2026-03-18\2026-03-18-155727  (Snashpt肥大化世代)\iMazing\00008101-000524EC3A30001E\Status.plist.backup,empty,uploading,True,2026-03-18 15:57:27.007015,,,,,,,,,,
