bucket,is_hex_bucket,file_count,total_size_bytes,total_size_gib,zero_byte_files,small_1kb_or_less,large_1mb_or_more,large_100mb_or_more,category_counts,magic_counts
dc,True,65,361892976,0.337,0,26,4,1,"{""snapshot_file"": 65}","{""binary_or_unknown"": 65}"
dd,True,83,7609152,0.0071,0,28,0,0,"{""snapshot_file"": 83}","{""binary_or_unknown"": 81, ""json_like"": 2}"
de,True,74,8068848,0.0075,0,27,1,0,"{""snapshot_file"": 74}","{""binary_or_unknown"": 74}"
df,True,71,968797712,0.9023,0,28,7,3,"{""snapshot_file"": 71}","{""binary_or_unknown"": 71}"
e0,True,68,628157728,0.585,0,30,4,2,"{""snapshot_file"": 68}","{""binary_or_unknown"": 67, ""json_like"": 1}"
e1,True,83,350473968,0.3264,0,32,5,1,"{""snapshot_file"": 83}","{""binary_or_unknown"": 83}"
e2,True,63,6655216,0.0062,0,31,3,0,"{""snapshot_file"": 63}","{""binary_or_unknown"": 63}"
e3,True,70,17246112,0.0161,0,26,3,0,"{""snapshot_file"": 70}","{""binary_or_unknown"": 69, ""json_like"": 1}"
e4,True,77,333853008,0.3109,0,36,4,1,"{""snapshot_file"": 77}","{""binary_or_unknown"": 76, ""json_like"": 1}"
e5,True,77,350808448,0.3267,0,30,4,1,"{""snapshot_file"": 77}","{""binary_or_unknown"": 77}"
e6,True,79,51212416,0.0477,0,31,6,0,"{""snapshot_file"": 79}","{""binary_or_unknown"": 78, ""json_like"": 1}"
e7,True,82,704288752,0.6559,0,26,5,2,"{""snapshot_file"": 82}","{""binary_or_unknown"": 82}"
e8,True,79,639539584,0.5956,0,34,7,2,"{""snapshot_file"": 79}","{""binary_or_unknown"": 78, ""json_like"": 1}"
e9,True,82,7579888,0.0071,0,37,2,0,"{""snapshot_file"": 82}","{""binary_or_unknown"": 82}"
ea,True,71,197140960,0.1836,0,28,2,1,"{""snapshot_file"": 71}","{""binary_or_unknown"": 71}"
eb,True,71,10174000,0.0095,0,30,4,0,"{""snapshot_file"": 71}","{""binary_or_unknown"": 70, ""json_like"": 1}"
ec,True,78,351426032,0.3273,0,30,5,1,"{""snapshot_file"": 78}","{""binary_or_unknown"": 78}"
ed,True,72,321174000,0.2991,0,24,4,1,"{""snapshot_file"": 72}","{""binary_or_unknown"": 71, ""json_like"": 1}"
ee,True,81,361645840,0.3368,0,33,3,1,"{""snapshot_file"": 81}","{""binary_or_unknown"": 81}"
ef,True,77,24757472,0.0231,0,38,4,0,"{""snapshot_file"": 77}","{""binary_or_unknown"": 77}"
f0,True,80,588062400,0.5477,0,33,8,2,"{""snapshot_file"": 80}","{""binary_or_unknown"": 80}"
f1,True,71,23203024,0.0216,0,24,4,0,"{""snapshot_file"": 71}","{""binary_or_unknown"": 71}"
f2,True,70,333985536,0.311,0,30,4,1,"{""snapshot_file"": 70}","{""binary_or_unknown"": 69, ""json_like"": 1}"
f3,True,89,159979024,0.149,0,31,1,1,"{""snapshot_file"": 89}","{""binary_or_unknown"": 87, ""json_like"": 2}"
f4,True,82,11000256,0.0102,0,35,2,0,"{""snapshot_file"": 82}","{""binary_or_unknown"": 81, ""json_like"": 1}"
f5,True,77,648822784,0.6043,0,33,5,2,"{""snapshot_file"": 77}","{""binary_or_unknown"": 75, ""json_like"": 2}"
f6,True,67,9582112,0.0089,0,27,3,0,"{""snapshot_file"": 67}","{""binary_or_unknown"": 66, ""json_like"": 1}"
f7,True,70,320475456,0.2985,0,30,3,1,"{""snapshot_file"": 70}","{""binary_or_unknown"": 69, ""json_like"": 1}"
f8,True,92,471851056,0.4394,0,36,4,2,"{""snapshot_file"": 92}","{""binary_or_unknown"": 92}"
f9,True,65,12662672,0.0118,0,26,2,0,"{""snapshot_file"": 65}","{""binary_or_unknown"": 63, ""json_like"": 2}"
fa,True,72,9225344,0.0086,0,31,2,0,"{""snapshot_file"": 72}","{""binary_or_unknown"": 72}"
fb,True,88,30088992,0.028,0,32,2,0,"{""snapshot_file"": 88}","{""binary_or_unknown"": 87, ""json_like"": 1}"
fc,True,67,34551056,0.0322,0,29,6,0,"{""snapshot_file"": 67}","{""binary_or_unknown"": 67}"
fd,True,68,6358720,0.0059,0,27,2,0,"{""snapshot_file"": 68}","{""binary_or_unknown"": 68}"
fe,True,59,6566976,0.0061,0,23,2,0,"{""snapshot_file"": 59}","{""binary_or_unknown"": 59}"
ff,True,85,317029280,0.2953,0,37,2,1,"{""snapshot_file"": 85}","{""binary_or_unknown"": 85}"
